unique_key,descriptor_id
69412245,Noise - Vehicle|Car/Truck Horn
69410685,Illegal Parking|Blocked Hydrant
69412212,Noise - Residential|Banging/Pounding
69404902,Noise - Street/Sidewalk|Loud Music/Party
69401624,Blocked Driveway|No Access
69406455,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69403183,Illegal Tree Damage|Trunk Damaged
69409226,Noise - Residential|Banging/Pounding
69404996,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69412164,Illegal Parking|Blocked Hydrant
69409232,Noise - Residential|Banging/Pounding
69412172,Illegal Parking|Blocked Hydrant
69407857,Noise - Street/Sidewalk|Loud Talking
69407812,Noise - Residential|Banging/Pounding
69407931,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69404849,Illegal Parking|Posted Parking Sign Violation
69404903,Noise - Street/Sidewalk|Loud Music/Party
69404836,Illegal Parking|Blocked Hydrant
69409247,Noise - Residential|Loud Music/Party
69403316,Noise - Residential|Banging/Pounding
69401924,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69407765,Illegal Parking|Blocked Hydrant
69412247,Noise - Vehicle|Car/Truck Music
69403334,Noise - Street/Sidewalk|Loud Music/Party
69406364,Noise - Residential|Banging/Pounding
69402174,Residential Disposal Complaint|Bin Not Used
69412337,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69407684,Dead/Dying Tree|Planted More Than 2 Years Ago
69406326,Illegal Parking|Commercial Overnight Parking
69402078,Litter Basket Complaint|Overflowing
69401809,Noise - Residential|Loud Music/Party
69410565,Damaged Tree|Branch or Limb Has Fallen Down
69407813,Noise - Residential|Banging/Pounding
69407932,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69404818,Illegal Parking|Blocked Hydrant
69404838,Illegal Parking|Blocked Hydrant
69404683,Blocked Driveway|No Access
69412201,Noise - Commercial|Loud Music/Party
69412242,Noise - Street/Sidewalk|Loud Talking
69412100,Overgrown Tree/Branches|Dead Branches in Tree
69409582,Obstruction|Trash or Recycling
69401760,Illegal Parking|Blocked Hydrant
69404669,Abandoned Vehicle|With License Plate
69410683,Illegal Fireworks|N/A
69412185,Illegal Parking|Posted Parking Sign Violation
69403266,Illegal Fireworks|N/A
69408640,Noise - Commercial|Loud Music/Party
69407833,Noise - Residential|Loud Television
69401773,Illegal Parking|Posted Parking Sign Violation
69403332,Noise - Residential|Loud Talking
69404897,Noise - Street/Sidewalk|Loud Music/Party
69401925,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69412235,Noise - Street/Sidewalk|Loud Music/Party
69412241,Noise - Street/Sidewalk|Loud Talking
69409239,Noise - Residential|Loud Music/Party
69409254,Noise - Street/Sidewalk|Loud Music/Party
69403282,Illegal Parking|Blocked Hydrant
69409181,Illegal Parking|Blocked Hydrant
69404875,Noise - Residential|Loud Music/Party
69412209,Noise - Residential|Banging/Pounding
69404830,Illegal Parking|Blocked Hydrant
69411568,Noise - Commercial|Loud Music/Party
69408084,Dirty Condition|Trash
69406881,Illegal Parking|Commercial Overnight Parking
69403293,Illegal Parking|Posted Parking Sign Violation
69404997,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69409577,Cannabis Retailer|Sales to Minors Under 21
69412083,Illegal Tree Damage|Roots Damaged
69404885,Noise - Residential|Loud Music/Party
69401800,Noise - Residential|Banging/Pounding
69410216,Noise - Street/Sidewalk|Loud Music/Party
69401926,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69406384,Noise - Street/Sidewalk|Loud Talking
69408967,Street Condition|Pothole
69401874,Panhandling|N/A
69404823,Illegal Parking|Blocked Hydrant
69401774,Illegal Parking|Posted Parking Sign Violation
69401721,Root/Sewer/Sidewalk Condition|Trees and Sidewalks Program
69410450,Street Condition|Pothole
69407861,Noise - Vehicle|Car/Truck Music
69406363,Noise - Residential|Banging/Pounding
69410734,Noise - Residential|Loud Music/Party
69403286,Illegal Parking|Commercial Overnight Parking
69407933,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69408968,Street Condition|Pothole
69405748,Noise - Residential|Banging/Pounding
69412174,Illegal Parking|Blocked Hydrant
69407543,Street Condition|Pothole
69404908,Noise - Street/Sidewalk|Loud Talking
69409177,Illegal Parking|Blocked Hydrant
69404829,Illegal Parking|Blocked Hydrant
69409171,Illegal Fireworks|N/A
69401811,Noise - Residential|Loud Music/Party
69404998,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69401545,Street Condition|Pothole
69412220,Noise - Residential|Loud Music/Party
69403325,Noise - Residential|Loud Music/Party
69406403,Street Condition|Cave-in
69406176,Abandoned Vehicle|With License Plate
69404895,Noise - Street/Sidewalk|Loud Music/Party
69404254,Noise - Residential|Loud Music/Party
69412338,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69410699,Illegal Parking|Commercial Overnight Parking
69406316,Illegal Parking|Blocked Hydrant
69404833,Illegal Parking|Blocked Hydrant
69406187,Blocked Driveway|No Access
69401830,Noise - Street/Sidewalk|Loud Talking
69412467,Consumer Complaint|Stoop Line Stand
69403209,Overgrown Tree/Branches|Hitting Building
69407793,Illegal Parking|Posted Parking Sign Violation
69404816,Illegal Fireworks|N/A
69407226,Noise - Residential|Loud Music/Party
69407203,Noise - Residential|Banging/Pounding
69407832,Noise - Residential|Loud Television
69401818,Noise - Street/Sidewalk|Loud Music/Party
69401768,Illegal Parking|Commercial Overnight Parking
69407821,Noise - Residential|Loud Music/Party
69404209,Noise - Residential|Banging/Pounding
69404824,Illegal Parking|Blocked Hydrant
69403273,Illegal Parking|Blocked Hydrant
69406178,Animal-Abuse|Neglected
69409256,Noise - Street/Sidewalk|Loud Music/Party
69404873,Noise - Residential|Loud Music/Party
69401775,Illegal Parking|Posted Parking Sign Violation
69406315,Illegal Parking|Blocked Hydrant
69409231,Noise - Residential|Banging/Pounding
69412186,Illegal Parking|Posted Parking Sign Violation
69412327,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69404817,Illegal Parking|Blocked Bike Lane
69403346,Noise - Street/Sidewalk|Loud Talking
69407862,Noise - Vehicle|Car/Truck Music
69410829,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69407289,Noise - Street/Sidewalk|Loud Music/Party
69407849,Noise - Street/Sidewalk|Loud Music/Party
69409186,Illegal Parking|Commercial Overnight Parking
69401178,Noise - Commercial|Loud Music/Party
69410731,Noise - Residential|Banging/Pounding
69410697,Illegal Parking|Commercial Overnight Parking
69403461,Encampment|N/A
69406355,Noise - Commercial|Loud Music/Party
69406183,Blocked Driveway|No Access
69401754,Illegal Parking|Blocked Bike Lane
69406367,Noise - Residential|Loud Music/Party
69411276,Illegal Parking|Commercial Overnight Parking
69401828,Noise - Street/Sidewalk|Loud Talking
69403115,Blocked Driveway|No Access
69409176,Illegal Parking|Blocked Hydrant
69410753,Noise - Street/Sidewalk|Loud Talking
69406313,Illegal Parking|Blocked Hydrant
69407852,Noise - Street/Sidewalk|Loud Music/Party
69403287,Illegal Parking|Commercial Overnight Parking
69412187,Illegal Parking|Posted Parking Sign Violation
69404843,Illegal Parking|Commercial Overnight Parking
69406369,Noise - Residential|Loud Music/Party
69403125,Blocked Driveway|Partial Access
69401832,Non-Emergency Police Matter|Other (complaint details)
69409167,Drug Activity|Use Indoor
69401273,Noise - Street/Sidewalk|Loud Music/Party
69408775,Noise - Vehicle|Car/Truck Music
69407780,Illegal Parking|Commercial Overnight Parking
69407322,Noise - Vehicle|Car/Truck Music
69407791,Illegal Parking|Posted Parking Sign Violation
69403289,Illegal Parking|Commercial Overnight Parking
69401541,Street Condition|Pothole
69406231,Dead/Dying Tree|Planted More Than 2 Years Ago
69408741,Noise - Street/Sidewalk|Loud Music/Party
69407853,Noise - Street/Sidewalk|Loud Talking
69404156,Street Light Condition|Street Light Out
69412246,Noise - Vehicle|Car/Truck Music
69407844,Noise - Street/Sidewalk|Loud Music/Party
69403281,Illegal Parking|Blocked Hydrant
69404906,Noise - Street/Sidewalk|Loud Talking
69404846,Illegal Parking|Commercial Overnight Parking
69409219,Noise - Commercial|Loud Music/Party
69403120,Blocked Driveway|No Access
69405788,Noise - Residential|Loud Music/Party
69405793,Noise - Residential|Loud Music/Party
69409198,Illegal Parking|Double Parked Blocking Traffic
69404368,Noise - Vehicle|Car/Truck Music
69407840,Noise - Street/Sidewalk|Loud Music/Party
69401222,Noise - Residential|Loud Music/Party
69410729,Noise - Residential|Banging/Pounding
69409241,Noise - Residential|Loud Music/Party
69409237,Noise - Residential|Loud Music/Party
69410741,Noise - Street/Sidewalk|Loud Music/Party
69404711,Damaged Tree|Branch or Limb Has Fallen Down
69408370,Illegal Parking|Blocked Sidewalk
69412214,Noise - Residential|Banging/Pounding
69407174,Noise - Commercial|Loud Music/Party
69411496,Street Light Condition|Fixture/Luminaire Hanging
69412469,Dead Animal|Cat
69410727,Noise - Residential|Banging/Pounding
69401831,Noise - Street/Sidewalk|Loud Talking
69405812,Noise - Residential|Loud Music/Party
69403114,Blocked Driveway|No Access
69410696,Illegal Parking|Blocked Sidewalk
69406505,Homeless Person Assistance|Non-Chronic
69401829,Noise - Street/Sidewalk|Loud Talking
69404845,Illegal Parking|Commercial Overnight Parking
69401794,Noise - Commercial|Loud Music/Party
69402700,Noise - Residential|Banging/Pounding
69403342,Noise - Street/Sidewalk|Loud Music/Party
69411391,Noise - Vehicle|Engine Idling
69402798,Noise - Street/Sidewalk|Loud Music/Party
69404904,Noise - Street/Sidewalk|Loud Music/Party
69410763,Sidewalk Condition|Defective Hardware
69408686,Noise - Residential|Loud Music/Party
69410211,Noise - Street/Sidewalk|Loud Music/Party
69406366,Noise - Residential|Loud Music/Party
69412370,Homeless Person Assistance|Non-Chronic
69411629,Noise - Residential|Loud Music/Party
69401567,Drug Activity|Use Outside
69406381,Noise - Street/Sidewalk|Loud Music/Party
69410742,Noise - Street/Sidewalk|Loud Music/Party
69405716,Noise - Commercial|Loud Music/Party
69404861,Noise - Commercial|Loud Music/Party
69401866,Street Condition|Guard Rail - Street
69401181,Noise - House of Worship|Loud Talking
69412211,Noise - Residential|Banging/Pounding
69403274,Illegal Parking|Blocked Hydrant
69404678,Blocked Driveway|No Access
69410738,Noise - Residential|Loud Music/Party
69404912,Noise - Vehicle|Engine Idling
69409180,Illegal Parking|Blocked Hydrant
69404896,Noise - Street/Sidewalk|Loud Music/Party
69401771,Illegal Parking|Overnight Commercial Storage
69401250,Noise - Residential|Loud Music/Party
69410165,Noise - Residential|Loud Music/Party
69407323,Noise - Vehicle|Car/Truck Music
69410698,Illegal Parking|Commercial Overnight Parking
69410958,Illegal Parking|Blocked Crosswalk
69410700,Illegal Parking|Commercial Overnight Parking
69409781,Illegal Parking|Commercial Overnight Parking
69404326,Noise - Street/Sidewalk|Loud Music/Party
69404822,Illegal Parking|Blocked Hydrant
69404882,Noise - Residential|Loud Music/Party
69408718,Noise - Street/Sidewalk|Loud Music/Party
69408350,Illegal Parking|Blocked Sidewalk
69407047,Blocked Driveway|No Access
69408747,Noise - Street/Sidewalk|Loud Music/Party
69410234,Noise - Vehicle|Car/Truck Music
69407786,Illegal Parking|Double Parked Blocking Traffic
69407775,Illegal Parking|Blocked Hydrant
69411371,Noise - Vehicle|Car/Truck Horn
69403349,Non-Emergency Police Matter|Other (complaint details)
69405815,Noise - Residential|Loud Music/Party
69406508,Homeless Person Assistance|Chronic
69407788,Illegal Parking|Double Parked Blocking Traffic
69409105,Indoor Air Quality|Chemical Vapors/Gases/Odors
69401308,Noise - Street/Sidewalk|Loud Music/Party
69411688,Noise - Street/Sidewalk|Loud Music/Party
69412221,Noise - Residential|Loud Music/Party
69410806,Street Condition|Plate Condition - Noisy
69409195,Illegal Parking|Double Parked Blocking Traffic
69404820,Illegal Parking|Blocked Hydrant
69410155,Noise - Residential|Loud Music/Party
69402760,Noise - Street/Sidewalk|Loud Music/Party
69401770,Illegal Parking|Double Parked Blocking Traffic
69401693,Illegal Tree Damage|Trunk Damaged
69412234,Noise - Street/Sidewalk|Loud Music/Party
69404285,Noise - Street/Sidewalk|Loud Music/Party
69410535,Blocked Driveway|No Access
69404302,Noise - Street/Sidewalk|Loud Music/Party
69408353,Illegal Parking|Blocked Sidewalk
69410156,Noise - Residential|Loud Music/Party
69409234,Noise - Residential|Banging/Pounding
69401321,Noise - Vehicle|Car/Truck Music
69410649,Lost Property|Bag/Wallet
69412166,Illegal Parking|Blocked Hydrant
69410462,Street Condition|Pothole
69412531,Consumer Complaint|Tow Truck Company
69406173,Abandoned Vehicle|With License Plate
69410219,Noise - Street/Sidewalk|Loud Music/Party
69401323,Noise - Vehicle|Car/Truck Music
69406325,Illegal Parking|Commercial Overnight Parking
69401796,Noise - Commercial|Loud Music/Party
69403206,Overgrown Tree/Branches|Hitting Building
69401827,Noise - Street/Sidewalk|Loud Talking
69402790,Noise - Street/Sidewalk|Loud Music/Party
69407814,Noise - Residential|Banging/Pounding
69402575,Non-Emergency Police Matter|Trespassing
69404362,Noise - Vehicle|Car/Truck Music
69409046,Blocked Driveway|No Access
69407538,Street Condition|Pothole
69411623,Noise - Residential|Loud Music/Party
69401641,Damaged Tree|Branch Cracked and Will Fall
69403420,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69405526,Illegal Parking|Double Parked Blocking Vehicle
69405352,Traffic|Chronic Speeding
69400865,Illegal Parking|Blocked Hydrant
69412177,Illegal Parking|Blocked Sidewalk
69411689,Noise - Street/Sidewalk|Loud Music/Party
69403308,Noise - Commercial|Banging/Pounding
69402774,Noise - Street/Sidewalk|Loud Music/Party
69406374,Noise - Residential|Loud Talking
69409897,Noise - Vehicle|Car/Truck Horn
69407836,Noise - Street/Sidewalk|Loud Music/Party
69406443,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69404923,Sidewalk Condition|Sidewalk Violation
69409260,Noise - Street/Sidewalk|Loud Music/Party
69407842,Noise - Street/Sidewalk|Loud Music/Party
69409221,Noise - Commercial|Loud Music/Party
69405066,Dirty Condition|Trash
69407566,Illegal Parking|Blocked Bike Lane
69412278,Street Condition|Defective Hardware
69410830,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69409557,Illegal Parking|Blocked Crosswalk
69408772,Noise - Vehicle|Car/Truck Music
69408682,Noise - Residential|Loud Music/Party
69401765,Illegal Parking|Blocked Sidewalk
69410952,Dirty Condition|Broken Glass
69406873,Illegal Parking|Blocked Sidewalk
69407563,Drug Activity|Use Outside
69401909,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69401238,Noise - Residential|Loud Music/Party
69410212,Noise - Street/Sidewalk|Loud Music/Party
69412329,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69405848,Noise - Street/Sidewalk|Loud Music/Party
69404863,Noise - Commercial|Loud Music/Party
69405729,Noise - House of Worship|Loud Talking
69401805,Noise - Residential|Banging/Pounding
69410732,Noise - Residential|Loud Music/Party
69410745,Noise - Street/Sidewalk|Loud Music/Party
69410151,Noise - Residential|Loud Music/Party
69405679,Street Light Condition|Street Light Out
69411555,Noise - Commercial|Loud Music/Party
69407831,Noise - Residential|Loud Talking
69404888,Noise - Residential|Loud Music/Party
69405067,Dirty Condition|Trash
69404328,Noise - Street/Sidewalk|Loud Music/Party
69410543,Blocked Driveway|Partial Access
69411690,Noise - Street/Sidewalk|Loud Music/Party
69403421,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69407817,Noise - Residential|Loud Music/Party
69411699,Noise - Street/Sidewalk|Loud Music/Party
69404305,Noise - Street/Sidewalk|Loud Music/Party
69407920,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69402393,Illegal Parking|Posted Parking Sign Violation
69403290,Illegal Parking|Commercial Overnight Parking
69405894,Noise - Vehicle|Car/Truck Music
69401625,Blocked Driveway|No Access
69403321,Noise - Residential|Loud Music/Party
69401826,Noise - Street/Sidewalk|Loud Talking
69404831,Illegal Parking|Blocked Hydrant
69401910,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69411632,Noise - Residential|Loud Music/Party
69411599,Noise - Residential|Banging/Pounding
69407293,Noise - Street/Sidewalk|Loud Music/Party
69408465,Noise - Vehicle|Car/Truck Horn
69407245,Noise - Residential|Loud Music/Party
69401813,Noise - Residential|Loud Music/Party
69410138,Noise - Residential|Loud Music/Party
69404222,Noise - Residential|Banging/Pounding
69412330,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69403318,Noise - Residential|Banging/Pounding
69410217,Noise - Street/Sidewalk|Loud Music/Party
69404119,Street Light Condition|Street Light Out
69407789,Illegal Parking|Posted Parking Sign Violation
69403592,Illegal Dumping|Chronic Dumping
69404832,Illegal Parking|Blocked Hydrant
69405791,Noise - Residential|Loud Music/Party
69411711,Noise - Vehicle|Car/Truck Music
69407838,Noise - Street/Sidewalk|Loud Music/Party
69401911,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69407763,Illegal Fireworks|N/A
69410831,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69403378,Street Condition|Defective Hardware
69404834,Illegal Parking|Blocked Hydrant
69409248,Noise - Residential|Loud Music/Party
69405430,Illegal Parking|Commercial Overnight Parking
69410740,Noise - Residential|Loud Talking
69403422,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69406350,Noise - Commercial|Banging/Pounding
69403272,Illegal Parking|Blocked Hydrant
69410668,Drinking|In Public
69409790,Illegal Parking|Commercial Overnight Parking
69411324,Illegal Parking|Posted Parking Sign Violation
69404870,Noise - Residential|Banging/Pounding
69410918,Illegal Dumping|Removal Request
69408708,Noise - Residential|Loud Music/Party
69410747,Noise - Street/Sidewalk|Loud Music/Party
69402510,Blocked Driveway|No Access
69407291,Noise - Street/Sidewalk|Loud Music/Party
69407837,Noise - Street/Sidewalk|Loud Music/Party
69407336,Noise - Vehicle|Car/Truck Music
69407689,Food Poisoning|1 or 2
69402765,Noise - Street/Sidewalk|Loud Music/Party
69407264,Noise - Residential|Loud Music/Party
69401207,Noise - Residential|Banging/Pounding
69404216,Noise - Residential|Banging/Pounding
69407772,Illegal Parking|Blocked Hydrant
69404939,"Street Condition|Rough, Pitted or Cracked Roads"
69408354,Illegal Parking|Blocked Sidewalk
69407160,Illegal Fireworks|N/A
69407629,Blocked Driveway|Partial Access
69412085,Indoor Air Quality|Ventilation
69400921,Illegal Parking|Commercial Overnight Parking
69407284,Noise - Street/Sidewalk|Loud Music/Party
69410240,Noise - Vehicle|Car/Truck Music
69410005,Non-Emergency Police Matter|Trespassing
69401812,Noise - Residential|Loud Music/Party
69412515,Illegal Parking|Blocked Crosswalk
69403464,Outdoor Dining|Site Setup Condition
69404869,Noise - Residential|Banging/Pounding
69405543,Noise - Vehicle|Car/Truck Horn
69403333,Noise - Residential|Loud Television
69406835,Illegal Parking|Blocked Hydrant
69402701,Noise - Residential|Banging/Pounding
69409042,Blocked Driveway|No Access
69407828,Noise - Residential|Loud Music/Party
69404840,Illegal Parking|Blocked Sidewalk
69410139,Noise - Residential|Loud Music/Party
69411550,Illegal Fireworks|N/A
69410752,Noise - Street/Sidewalk|Loud Talking
69407816,Noise - Residential|Loud Music/Party
69407157,Illegal Fireworks|N/A
69410628,Overgrown Tree/Branches|Hitting Building
69409086,Damaged Tree|Entire Tree Has Fallen Down
69405529,Noise - Commercial|Loud Talking
69402371,Illegal Parking|Commercial Overnight Parking
69409506,Illegal Posting|Poster or Sign
69401793,Noise - Commercial|Loud Music/Party
69401182,Noise - House of Worship|Loud Talking
69411647,Noise - Residential|Loud Music/Party
69406122,Drug Activity|Use Outside
69407841,Noise - Street/Sidewalk|Loud Music/Party
69407770,Illegal Parking|Blocked Hydrant
69404329,Noise - Street/Sidewalk|Loud Music/Party
69410529,Abandoned Vehicle|With License Plate
69410164,Noise - Residential|Loud Music/Party
69401165,Illegal Fireworks|N/A
69404175,Illegal Fireworks|N/A
69409375,Homeless Person Assistance|Non-Chronic
69407166,Noise - Commercial|Loud Music/Party
69402672,Noise - Residential|Banging/Pounding
69404360,Noise - Vehicle|Car/Truck Music
69402305,Illegal Parking|Blocked Hydrant
69402645,Illegal Fireworks|N/A
69410094,Noise - Residential|Banging/Pounding
69402647,Illegal Fireworks|N/A
69401627,Blocked Driveway|No Access
69401819,Noise - Street/Sidewalk|Loud Music/Party
69404174,Illegal Fireworks|N/A
69408644,Noise - House of Worship|Loud Music/Party
69404177,Illegal Fireworks|N/A
69404821,Illegal Parking|Blocked Hydrant
69407158,Illegal Fireworks|N/A
69410751,Noise - Street/Sidewalk|Loud Music/Party
69410141,Noise - Residential|Loud Music/Party
69405153,Illegal Dumping|Chronic Dumping
69411558,Noise - Commercial|Loud Music/Party
69412230,Noise - Street/Sidewalk|Loud Music/Party
69401175,Noise - Commercial|Loud Music/Party
69402817,Noise - Vehicle|Car/Truck Music
69411090,Smoking or Vaping|Allowed in Smoke Free Area
69405727,Noise - Commercial|Loud Talking
69407156,Illegal Fireworks|N/A
69406885,Illegal Parking|Commercial Overnight Parking
69404176,Illegal Fireworks|N/A
69401759,Illegal Parking|Blocked Hydrant
69404035,Blocked Driveway|No Access
69402648,Illegal Fireworks|N/A
69406382,Noise - Street/Sidewalk|Loud Music/Party
69402731,Noise - Residential|Loud Music/Party
69411644,Noise - Residential|Loud Music/Party
69409816,Illegal Parking|Posted Parking Sign Violation
69407767,Illegal Parking|Blocked Hydrant
69403402,Illegal Parking|Parking Permit Improper Use
69409049,Blocked Driveway|Partial Access
69401166,Illegal Fireworks|N/A
69408762,Noise - Street/Sidewalk|Loud Talking
69407768,Illegal Parking|Blocked Hydrant
69401163,Illegal Fireworks|N/A
69406189,Blocked Driveway|Partial Access
69407893,Drinking|After Hours - Licensed Est
69408095,Illegal Posting|Poster or Sign
69404242,Noise - Residential|Loud Music/Party
69410760,Noise - Vehicle|Engine Idling
69412222,Noise - Residential|Loud Music/Party
69411708,Noise - Street/Sidewalk|Loud Talking
69402771,Noise - Street/Sidewalk|Loud Music/Party
69410735,Noise - Residential|Loud Music/Party
69404876,Noise - Residential|Loud Music/Party
69409217,Noise - Commercial|Loud Music/Party
69402646,Illegal Fireworks|N/A
69411653,Noise - Residential|Loud Talking
69411616,Noise - Residential|Loud Music/Party
69403278,Illegal Parking|Blocked Hydrant
69407221,Noise - Residential|Banging/Pounding
69409394,Dirty Condition|Trash
69407925,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69407339,Noise - Vehicle|Car/Truck Music
69408768,Noise - Street/Sidewalk|Loud Talking
69405544,Noise - Vehicle|Car/Truck Horn
69407159,Illegal Fireworks|N/A
69407805,Noise - Commercial|Loud Music/Party
69402756,Noise - Street/Sidewalk|Loud Music/Party
69404280,Noise - Street/Sidewalk|Loud Music/Party
69402686,Noise - Residential|Banging/Pounding
69410840,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69402654,Noise - Commercial|Loud Music/Party
69405833,Noise - Street/Sidewalk|Loud Music/Party
69407167,Noise - Commercial|Loud Music/Party
69410542,Blocked Driveway|Partial Access
69404266,Noise - Residential|Loud Music/Party
69400965,Illegal Parking|Posted Parking Sign Violation
69410737,Noise - Residential|Loud Music/Party
69402715,Noise - Residential|Loud Music/Party
69406492,Homeless Person Assistance|Chronic
69410210,Noise - Street/Sidewalk|Loud Music/Party
69410179,Noise - Street/Sidewalk|Loud Music/Party
69405156,Illegal Posting|Poster or Sign
69410841,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69407839,Noise - Street/Sidewalk|Loud Music/Party
69412013,Blocked Driveway|No Access
69411654,Noise - Residential|Loud Talking
69405719,Noise - Commercial|Loud Music/Party
69408630,Noise - Commercial|Loud Music/Party
69405875,Noise - Street/Sidewalk|Loud Talking
69405447,Illegal Parking|Double Parked Blocking Traffic
69403881,Illegal Parking|Double Parked Blocking Traffic
69401215,Noise - Residential|Loud Music/Party
69401252,Noise - Residential|Loud Music/Party
69401918,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69408988,Drug Activity|Use Outside
69411254,Illegal Parking|Blocked Sidewalk
69401322,Noise - Vehicle|Car/Truck Music
69412229,Noise - Street/Sidewalk|Loud Music/Party
69411571,Noise - Commercial|Loud Music/Party
69409588,Illegal Parking|License Plate Obscured
69402805,Noise - Street/Sidewalk|Loud Talking
69405264,Illegal Parking|License Plate Obscured
69409194,Illegal Parking|Detached Trailer
69410309,HEAT/HOT WATER|ENTIRE BUILDING
69406449,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69410162,Noise - Residential|Loud Music/Party
69404837,Illegal Parking|Blocked Hydrant
69411358,Noise - Commercial|Loud Talking
69404884,Noise - Residential|Loud Music/Party
69410093,Noise - House of Worship|Loud Talking
69410755,Noise - Vehicle|Car/Truck Horn
69402621,Traffic Signal Condition|Controller
69410750,Noise - Street/Sidewalk|Loud Music/Party
69411619,Noise - Residential|Loud Music/Party
69407926,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69403117,Blocked Driveway|No Access
69410686,Illegal Parking|Blocked Hydrant
69409432,Building Drinking Water Tank|Unsanitary Condition
69408642,Noise - Commercial|Loud Music/Party
69405674,Street Light Condition|Street Light Out
69412052,Damaged Tree|Branch or Limb Has Fallen Down
69408673,Noise - Residential|Banging/Pounding
69411545,Street Light Condition|Street Light Out
69404901,Noise - Street/Sidewalk|Loud Music/Party
69409238,Noise - Residential|Loud Music/Party
69408290,Illegal Parking|Detached Trailer
